                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2147,                 1.0041,                 1.3621,                0.79827,                0.84307,                0.88252,                0.58448,                 1.1238,                 1.1407,                 1.2216,             0.00069954,             0.00069954,             0.00069954
                     35,                 1.2217,                 1.0049,                 1.3657,                 0.7831,                0.88882,                0.88837,                0.60427,                 1.0898,                0.99991,                 1.2489,             0.00067744,             0.00067744,             0.00067744
                     36,                 1.2063,                0.97766,                 1.3474,                0.79329,                0.86625,                0.88583,                0.58942,                 1.1065,                 1.0405,                 1.2543,             0.00065533,             0.00065533,             0.00065533
                     37,                 1.2288,                0.99607,                 1.3549,                0.76944,                0.86847,                0.89222,                0.60833,                 1.0902,                0.95531,                  1.224,             0.00063323,             0.00063323,             0.00063323
                     38,                  1.208,                0.97186,                 1.3519,                0.81968,                0.88043,                0.89556,                0.60696,                  1.096,                 0.9136,                 1.2213,             0.00061112,             0.00061112,             0.00061112
                     39,                 1.2029,                0.99689,                  1.348,                0.82041,                0.89502,                0.89178,                0.60769,                 1.1056,                 1.0011,                  1.211,             0.00058902,             0.00058902,             0.00058902
                     40,                 1.2036,                0.97332,                 1.3431,                0.79846,                0.90749,                0.89568,                0.60787,                 1.0959,                0.90025,                 1.1924,             0.00056691,             0.00056691,             0.00056691
                     41,                 1.2043,                0.97824,                 1.3578,                0.80523,                0.90177,                0.89424,                0.59332,                 1.1177,                0.89368,                 1.1908,             0.00054481,             0.00054481,             0.00054481
                     42,                 1.1922,                0.96446,                  1.349,                0.78224,                0.92091,                0.88816,                0.59545,                 1.1274,                0.90122,                 1.2076,              0.0005227,              0.0005227,              0.0005227
                     43,                 1.1874,                0.95188,                 1.3352,                0.79237,                0.92196,                0.88887,                0.60128,                 1.0766,                 0.9182,                 1.2086,              0.0005006,              0.0005006,              0.0005006
                     44,                 1.1818,                0.96263,                 1.3341,                 0.8182,                0.91398,                 0.8947,                0.61636,                 1.0541,                0.87748,                 1.1918,             0.00047849,             0.00047849,             0.00047849
